site_id,organism,location_type,label,lat,lon,elev_m,year,county,notes,source_name,source_url
NWT-001,American pika,survey_plot,Niwot plot NWT-001,40.066713,-105.62351,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-002,American pika,survey_plot,Niwot plot NWT-002,40.055393,-105.622551,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-003,American pika,survey_plot,Niwot plot NWT-003,40.059712,-105.608485,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-004,American pika,survey_plot,Niwot plot NWT-004,40.065673,-105.593376,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-005,American pika,survey_plot,Niwot plot NWT-005,40.054862,-105.627459,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-006,American pika,survey_plot,Niwot plot NWT-006,40.063062,-105.628847,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-007,American pika,survey_plot,Niwot plot NWT-007,40.045538,-105.591267,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-008,American pika,survey_plot,Niwot plot NWT-008,40.061717,-105.600471,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-009,American pika,survey_plot,Niwot plot NWT-009,40.053344,-105.619942,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-010,American pika,survey_plot,Niwot plot NWT-010,40.066021,-105.609597,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-011,American pika,survey_plot,Niwot plot NWT-011,40.04523,-105.60559,,,Boulder,Panel: EveryYr; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
