organism,location_name,month,month_num,avg_high_F,avg_low_F,avg_mean_F,precip_in,source_name,source_url
American pika,"Estes Park, CO",Jan,1,39.0,18.0,28.5,0.31,"U.S. Climate Data — Estes Park, CO",https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Black-tailed prairie dog,"Nunn, CO (Pawnee)",Jan,1,42.0,12.0,27.0,0.23,"U.S. Climate Data — Nunn, CO",https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
Black-tailed prairie dog,"Boulder, CO",Jan,1,,,34.42,,NOAA PSL Boulder monthly mean temperature 1991-2020,https://psl.noaa.gov/boulder/Boulder.mm.html
American pika,"Estes Park, CO",Feb,2,41.0,19.0,30.0,0.47,"U.S. Climate Data — Estes Park, CO",https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Black-tailed prairie dog,"Nunn, CO (Pawnee)",Feb,2,44.0,14.0,29.0,0.26,"U.S. Climate Data — Nunn, CO",https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
Black-tailed prairie dog,"Boulder, CO",Feb,2,,,35.4,,NOAA PSL Boulder monthly mean temperature 1991-2020,https://psl.noaa.gov/boulder/Boulder.mm.html
American pika,"Estes Park, CO",Mar,3,47.0,23.0,35.0,0.91,"U.S. Climate Data — Estes Park, CO",https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Black-tailed prairie dog,"Nunn, CO (Pawnee)",Mar,3,53.0,22.0,37.5,1.0,"U.S. Climate Data — Nunn, CO",https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
Black-tailed prairie dog,"Boulder, CO",Mar,3,,,43.13,,NOAA PSL Boulder monthly mean temperature 1991-2020,https://psl.noaa.gov/boulder/Boulder.mm.html
American pika,"Estes Park, CO",Apr,4,53.0,27.0,40.0,1.42,"U.S. Climate Data — Estes Park, CO",https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Black-tailed prairie dog,"Nunn, CO (Pawnee)",Apr,4,61.0,30.0,45.5,1.58,"U.S. Climate Data — Nunn, CO",https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
Black-tailed prairie dog,"Boulder, CO",Apr,4,,,48.87,,NOAA PSL Boulder monthly mean temperature 1991-2020,https://psl.noaa.gov/boulder/Boulder.mm.html
American pika,"Estes Park, CO",May,5,62.0,35.0,48.5,2.13,"U.S. Climate Data — Estes Park, CO",https://usclimatedata.com/climate/boulder/colorado/united-states/usco0130
Black-tailed prairie dog,"Nunn, CO (Pawnee)",May,5,71.0,40.0,55.5,2.06,"U.S. Climate Data — Nunn, CO",https://usclimatedata.com/climate/nunn/colorado/united-states/usco0657
