organism,scientific_name,lat,lon,year,locality,county,elev_m,gbifID,basisOfRecord,source_name,source_url
American pika,Ochotona princeps,38.978707,-106.822057,2026,,,,6320151633,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6320151633
American pika,Ochotona princeps,39.661033,-105.882645,2026,,,,6188252563,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6188252563
American pika,Ochotona princeps,39.66149,-105.882731,2026,,,,6234327205,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6234327205
American pika,Ochotona princeps,39.631488,-106.134789,2026,,,,6235278902,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6235278902
American pika,Ochotona princeps,39.073397,-107.008135,2026,,,,6236378677,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6236378677
American pika,Ochotona princeps,39.66193,-105.880638,2026,,,,6251516035,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6251516035
American pika,Ochotona princeps,39.038826,-107.986895,2026,,,,6252372274,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6252372274
American pika,Ochotona princeps,40.395053,-105.87497,2026,,,,6321108044,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6321108044
American pika,Ochotona princeps,40.62754,-105.801455,2026,,,,6334450850,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6334450850
American pika,Ochotona princeps,40.263675,-105.615242,2026,,,,6334792828,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6334792828
American pika,Ochotona princeps,40.29768,-105.641717,2026,,,,6334804847,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6334804847
American pika,Ochotona princeps,40.313775,-105.67865,2026,,,,6352674428,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6352674428
American pika,Ochotona princeps,37.791254,-107.535316,2026,,,,6353057440,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6353057440
American pika,Ochotona princeps,39.411308,-106.133567,2026,,,,6353099645,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6353099645
American pika,Ochotona princeps,40.394715,-105.671184,2026,,,,6353240556,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6353240556
American pika,Ochotona princeps,40.290937,-105.520638,2026,,,,6353386673,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6353386673
American pika,Ochotona princeps,40.401173,-105.68596,2026,,,,6430811709,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6430811709
American pika,Ochotona princeps,39.4696,-106.459336,2026,,,,6398902689,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6398902689
American pika,Ochotona princeps,40.482131,-105.904869,2026,,,,6399527725,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6399527725
American pika,Ochotona princeps,38.799265,-106.369207,2026,,,,6399545834,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6399545834
American pika,Ochotona princeps,38.847015,-107.029058,2026,,,,6399878638,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6399878638
American pika,Ochotona princeps,39.095122,-106.95129,2026,,,,6400163289,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6400163289
American pika,Ochotona princeps,40.267664,-105.611927,2026,,,,6400777813,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6400777813
American pika,Ochotona princeps,40.41198,-105.733047,2026,,,,6400810680,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6400810680
American pika,Ochotona princeps,39.6409,-105.820655,2026,,,,6400838538,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6400838538
American pika,Ochotona princeps,40.235083,-105.483613,2026,,,,6413076301,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413076301
American pika,Ochotona princeps,40.411689,-105.732963,2026,,,,6413106896,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413106896
American pika,Ochotona princeps,37.794605,-107.545958,2026,,,,6413216456,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413216456
American pika,Ochotona princeps,39.215895,-106.177572,2026,,,,6413454326,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413454326
American pika,Ochotona princeps,40.439398,-105.760717,2026,,,,6413560406,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413560406
American pika,Ochotona princeps,40.4127,-105.731742,2026,,,,6413598744,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413598744
American pika,Ochotona princeps,39.089456,-106.962875,2026,,,,6413751486,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413751486
American pika,Ochotona princeps,40.315945,-105.672813,2026,,,,6413904399,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413904399
American pika,Ochotona princeps,39.152924,-106.565856,2026,,,,6413996349,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6413996349
American pika,Ochotona princeps,39.113294,-107.024938,2026,,,,6414110033,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6414110033
American pika,Ochotona princeps,40.412675,-105.73178,2026,,,,6422073077,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422073077
American pika,Ochotona princeps,40.425891,-105.757384,2026,,,,6422225896,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422225896
American pika,Ochotona princeps,39.087875,-106.435646,2026,,,,6422348534,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422348534
American pika,Ochotona princeps,40.482515,-105.886064,2026,,,,6422512983,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422512983
American pika,Ochotona princeps,38.953615,-106.298786,2026,,,,6422544369,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422544369
American pika,Ochotona princeps,39.309269,-106.171621,2026,,,,6422575718,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422575718
American pika,Ochotona princeps,39.970238,-105.793229,2026,,,,6422751742,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422751742
American pika,Ochotona princeps,40.412511,-105.733466,2026,,,,6422805540,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422805540
American pika,Ochotona princeps,40.432636,-105.76868,2026,,,,6422878392,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6422878392
