"lter_site","plot","easting_original","northing_original","mdcaty","panel_original","panel_current","easting_final","northing_final","replaced_by","moved_dist_field","moved_dist_lab"
"NWT","NWT-001",446807,4435361.357,"LowElevHighSWELowProb","EveryYr","EveryYr",446829,4435348,NaN,27,26
"NWT","NWT-002",446904,4434090.232,"HighElevHighSWELowProb","EveryYr","EveryYr",446902,4434091,NaN,0,0
"NWT","NWT-003",448090,4434556.15,"HighElevLowSWEHighProb","EveryYr","EveryYr",448105,4434562,NaN,14,13
"NWT","NWT-004",449397,4435194.264,"LowElevLowSWEHighProb","EveryYr","EveryYr",449398,4435215,NaN,21,21
"NWT","NWT-005",446493,4434012.53,"HighElevHighSWEHighProb","EveryYr","EveryYr",446483,4434035,NaN,25,26
"NWT","NWT-006",446413,4434950.343,"HighElevLowSWELowProb","EveryYr","EveryYr",446371,4434946,NaN,36,44
"NWT","NWT-007",449560,4432979.786,"LowElevLowSWELowProb","EveryYr","EveryYr",449563,4432979,NaN,5,4
"NWT","NWT-008",448789,4434791.023,"LowElevLowSWELowProb","EveryYr","EveryYr",448790,4434780,NaN,10,11
"NWT","NWT-009",447123,4433862.196,"HighElevLowSWEHighProb","EveryYr","EveryYr",447123,4433862,NaN,0,0
"NWT","NWT-010",448051,4435255.839,"LowElevHighSWEHighProb","EveryYr","EveryYr",448015,4435263,NaN,37,37
"NWT","NWT-011",448306,4432920.599,"LowElevHighSWELowProb","EveryYr","EveryYr",448341,4432953,NaN,47,48
"NWT","NWT-012",449568,4434534.635,"LowElevHighSWEHighProb","EveryYr","EveryYr",NaN,NaN,121,NaN,NaN
"NWT","NWT-013",445801,4434359.41,"HighElevHighSWELowProb","EveryYr","EveryYr",NaN,NaN,82,NaN,NaN
"NWT","NWT-014",447735,4434239.884,"HighElevLowSWEHighProb","EveryYr","EveryYr",447735,4434240,NaN,0,0
"NWT","NWT-015",448131,4434005.507,"HighElevHighSWELowProb","EveryYr","EveryYr",448131,4434006,NaN,0,0
"NWT","NWT-016",450238,4433306.554,"LowElevHighSWEHighProb","EveryYr","EveryYr",450194,4433309,NaN,42,42
"NWT","NWT-017",446421,4435554.743,"LowElevHighSWELowProb","EveryYr","EveryYr",446424,4435549,NaN,0,0
"NWT","NWT-018",446413,4434489.339,"HighElevLowSWELowProb","EveryYr","EveryYr",NaN,NaN,97,NaN,NaN
"NWT","NWT-019",448673,4433691.66,"LowElevLowSWELowProb","EveryYr","EveryYr",448673,4433692,NaN,0,0
"NWT","NWT-020",449732,4434928.283,"LowElevHighSWEHighProb","EveryYr","EveryYr",NaN,NaN,140,NaN,NaN
"NWT","NWT-021",447175,4433314.324,"HighElevLowSWELowProb","EveryYr","EveryYr",NaN,NaN,117,NaN,NaN
"NWT","NWT-022",445639,4432986.993,"HighElevHighSWEHighProb","EveryYr","EveryYr",445877,4433218,NaN,390,332
"NWT","NWT-023",448648,4433379.745,"LowElevLowSWEHighProb","EveryYr","EveryYr",448616,4433400,NaN,39,38
"NWT","NWT-024",448702,4434069.377,"HighElevLowSWEHighProb","EveryYr","EveryYr",448702,4434069,NaN,0,0
"NWT","NWT-025",446797,4433554.716,"HighElevLowSWELowProb","EvenYrs","EvenYrs",NaN,NaN,186,NaN,NaN
"NWT","NWT-026",448589,4434966.055,"LowElevHighSWEHighProb","EvenYrs","EvenYrs",448620,4434963,NaN,30,31
"NWT","NWT-027",447909,4433585.345,"LowElevLowSWELowProb","EvenYrs","EvenYrs",447900,4433519,NaN,0,67
"NWT","NWT-028",450161,4435638.602,"LowElevLowSWEHighProb","EvenYrs","EvenYrs",NaN,NaN,116,NaN,NaN
"NWT","NWT-029",445938,4434639.315,"HighElevHighSWELowProb","EvenYrs","EvenYrs",445935,4434628,NaN,12,12
"NWT","NWT-030",447709,4434834.216,"HighElevHighSWELowProb","EvenYrs","EvenYrs",447684,4434719,NaN,116,118
"NWT","NWT-031",448176,4433572.554,"LowElevHighSWEHighProb","EvenYrs","EvenYrs",448176,4433573,NaN,0,0
"NWT","NWT-032",449593,4435380.975,"LowElevLowSWEHighProb","EvenYrs","EvenYrs",449593,4435381,NaN,0,0
"NWT","NWT-033",446197,4433498.284,"HighElevHighSWEHighProb","EvenYrs","EvenYrs",446197,4433498,NaN,0,0
"NWT","NWT-034",446148,4435001.995,"LowElevHighSWELowProb","EvenYrs","EvenYrs",446140,4434954,NaN,49,49
"NWT","NWT-035",449172,4433487.954,"LowElevHighSWELowProb","EvenYrs","EvenYrs",449123,4433474,NaN,50,51
"NWT","NWT-036",449079,4435118.204,"LowElevLowSWEHighProb","EvenYrs","EvenYrs",449059,4435125,NaN,20,21
"NWT","NWT-037",446984,4432998.504,"HighElevLowSWEHighProb","EvenYrs","EvenYrs",NaN,NaN,88,NaN,NaN
"NWT","NWT-038",445511,4433442.821,"HighElevHighSWEHighProb","EvenYrs","EvenYrs",445511,4433443,NaN,0,0
"NWT","NWT-039",449169,4433346.305,"LowElevHighSWEHighProb","EvenYrs","EvenYrs",NaN,NaN,84,NaN,NaN
"NWT","NWT-040",448758,4434624.697,"HighElevLowSWEHighProb","EvenYrs","EvenYrs",448782,4434650,NaN,35,35
"NWT","NWT-041",446455,4433149.674,"HighElevLowSWELowProb","EvenYrs","EvenYrs",NaN,NaN,195,NaN,NaN
"NWT","NWT-042",448117,4434842.293,"HighElevLowSWEHighProb","EvenYrs","EvenYrs",448117,4434842,NaN,0,0
"NWT","NWT-043",447605,4433771.471,"LowElevHighSWEHighProb","EvenYrs","EvenYrs",447618,4433781,NaN,14,16
"NWT","NWT-044",450071,4435184.453,"LowElevLowSWEHighProb","EvenYrs","EvenYrs",NaN,NaN,109,NaN,NaN
"NWT","NWT-045",447003,4434783.692,"HighElevLowSWEHighProb","EvenYrs","EvenYrs",NaN,NaN,73,NaN,NaN
